1. 关于安全生产监督检查人员执法的说法，正确的是（　　）。[2017年真题]
2. 房地产公司甲的下列做法中，符合安全生产法律规定的是（　　）。［2011年真题］
3. 根据《建设工程质量管理条例》，对涉及（　　）的装修工程，建设单位应委托原设计单位或具有相应资质等级的设计单位提出设计方案。［2012年真题］
4. 关于监理单位安全责任的说法，正确的是（　　）。[2016年真题]
5. 监理工程师发现施工现场料堆偏高，有可能滑塌，存在安全事故隐患，则监理工程师应当（　　）。［2009年真题］
6. 《建设工程安全生产管理条例》第十六条规定，出租机械设备的单位应当对出租的机械设备和施工机具及配件的安全性能进行检测，在签订租赁协议时，应当出具（　　）。［2007年真题］
7. 根据《建筑起重机械安全监督管理规定》，应当报废的起重机械是（　　）。［2014年真题］
8. 在施工现场安装、拆卸施工起重机械，整体提升脚手架、模板等自升式架设设施，必须由（　　）承担。［2010年真题］
9. 根据《建设工程安全生产管理条例》，施工起重机械和整体提升脚手架、模板等自升式架设设施安装完毕后，应当由（　　），并出具合格证明。[2015年真题]
10. 某施工单位为避免破坏施工现场区域内原有地下管线，欲查明相关情况，应由（　　）负责向其提供施工现场区域内地下管线资料。
11. 林某等55人是某住宅小区的业主，与甲施工单位签订了该住宅小区的施工合同，合同中规定：该工程于2012年7月14日开工，于2015年5月21日竣工。为更早住进小区，林某等人要求甲单位不惜一切代价加快工程进度，于2015年2月21日竣工。关于林某等人要求甲单位不惜一切代价加快工程进度的行为，说法正确的是（　　）。
12. 建设工程安全作业环境及安全施工措施所需费用，应当包括在（　　）内。
13. 依法批准开工报告的建设工程，建设单位应当自开工报告批准之日起（　　）日内，将保证安全施工的措施报送建设工程所在地的县级以上人民政府建设行政主管部门或者其他有关部门备案。
14. 涉及建筑主体和承重结构变动的装修工程，应当在施工前委托原设计单位或者（　　）提出设计方案。
15. 依据《建设工程安全生产管理条例》的规定，下列关于设计单位安全责任的说法不正确的是（　　）。
16. 依法实施强制监理的工程项目，对施工组织设计中的安全技术措施或者专项施工方案是否符合工程建设强制性标准负有审查责任的是（　　）。
17. 监理单位及其监理工程师应当按照法律、法规和工程建设（　　）实施监理。
18. 依据《建设工程安全生产管理条例》的规定，不属于监理单位安全生产管理责任和义务的是（　　）。
19. 工程监理单位发现存在安全事故隐患，要求施工单位整改，施工单位拒不整改的，工程监理单位应当及时向（　　）报告。
20. 根据《建设工程安全生产管理管理条例》的规定，监理单位未对施工组织设计中的安全技术措施进行审查，情节严重的，（　　）。
21. 根据《建设工程安全生产管理条例》，出租的机械设备应当有产品合格证、自检合格证明和（　　）。
22. 安装、拆卸施工起重机械，安装单位应当编制（　　）。
23. 施工起重机械现场安装完毕后，以下不属于安装单位工作的是（　　）。
24. 《建设工程安全生产管理条例》对施工起重机械和整体提升脚手架等设施强制性检测的规定不包括（　　）。
25. 根据《安全生产法》，对全国安全生产工作实施综合监督管理的机构是（　　）。
26. 我国《建设工程安全生产管理条例》规定，对没有安全施工措施的建设项目，建设行政主管部门不予颁发（　　）。
27. 下列有关安全生产监督管理措施的表述，不正确的是（　　）。
28. 关于应急救援，下列说法不正确的是（　　）。
29. 根据我国《安全生产法》的规定，有关地方人民政府和负有安全生产监督管理职责部门的负责人在接到重大生产安全事故报告后，应当立即（　　）。
