1. 关于建设单位安全责任的说法，正确的有（　　）。[2017年真题]
2. 根据《建设工程安全生产管理条例》，建设单位应当在拆除工程施工15日前，将（　　）报送工程所在地的县级以上建设行政主管部门备案。［2012年真题］
3. 下列建设工程安全生产责任中，属于工程监理单位安全职责的有（　　）。[2015年真题]
4. 根据《建筑起重机械安全监督管理规定》，出租单位或者自购建筑起重机械的使用单位应当报废的建筑起重机械有（　　）。[2016年真题]
5. 建设工程开工前，建设单位应当向施工单位提供的资料有（　　）。
6. 下列属于建设单位安全生产管理责任和义务的有（　　）。
7. 申领施工许可证时，建设单位应当提供的有关安全施工措施的资料包括（　　）。
8. 建设单位没有提供工程安全生产作业环境及安全施工措施所需费用，其法律责任不包括（　　）。
9. 建设单位有下列（　　）行为之一的，责令限期改正，处20万元以上50万元以下的罚款；造成重大安全事故，构成犯罪的，对直接责任人员，依照刑法有关规定追究刑事责任；造成损失的，依法承担赔偿责任。
10. 下列行为中，违反《建设工程安全生产管理条例》的有（　　）。
11. 设计单位的安全责任包括（　　）。
12. 对采用特殊结构的建设工程，设计单位应当在设计中提出（　　）。
13. 注册执业人员未执行法律、法规和工程建设强制性标准的，应承担的法律责任包括（　　）。
14. 某机械设备租赁公司拟在施工现场安装施工起重机械，根据《建设工程安全生产管理条例》，该公司应（　　）。
15. 《建设工程安全生产管理条例》对施工起重机械和自升式架设设施的安全要求有（　　）。
16. 如吊塔安装作业单位未编制塔吊拆装方案，情节严重的，可对其作出（　　）的处理决定。
17. 下列关于安全生产监督部门在进行监督检查时行使职权的说法，正确的有（　　）。
