1. 国家实行固定资产投资项目（　　）评估和审查制度。[2017年真题]
2. 关于节能技术进步的说法，正确的是（　　）。[2017年真题]
3. “绿色施工”是指工程建设中，在保证质量、安全等基本要求的前提下，通过科学管理和技术进步，最大限度地节约资源与减少对环境负面影响的施工活动，实现“四节一环保”，其中“四节”是指（　　）。[2015年真题]
4. 下列关于民用建筑节能的表述，正确的是（　　）。［2009年真题］
5. 施工图设计文件审查机构在进行节能设计审查时，应当审查（　　）。［2012年真题］
6. 关于我国节约能源法律、法规及相关规定，说法错误的是（　　）。［2014年真题］
7. 根据《节约能源法》，违反建筑节能标准的，由建设主管部门责令改正，处10万元以上50万元以下罚款的参建单位是（　　）。[2015年真题]
8. 根据《民用建筑节能条例》，注册执业人员未执行民用建筑节能强制性标准的，由县级以上人民政府建设主管部门责令停止执业（　　），情节严重的，由颁发资格证书的部门吊销执业资格证书，5年内不得注册。［2014年真题］
9. 国家对落后的耗能过高的用能产品、设备和生产工艺实行（　　）。
10. 关于用能单位加强能源计量管理的说法，错误的是（　　）。
11. 按照合同约定由建设单位采购墙体材料、保温材料、门窗、采暖制冷系统和照明设备的，建设单位应当保证其符合（　　）要求。
12. 下列关于建设工程项目节能要求的表述中，错误的是（　　）。
13. 工程监理单位发现施工单位不按照民用建筑节能强制性标准施工的，应当（　　）。
14. 根据《绿色施工导则》规定，施工现场公里以内生产的建筑材料用量应占建筑材料总重量的以上。（　　）
