1. 下列权利中，属于用益物权的是（　　）。[2016年真题]
2. 根据《物权法》，土地承包经营权属于（　　）。[2014年真题]
3. 建设用地使用权自（　　）时设立。[2017年真题]
4. 建设用地使用权转让的，使用期限由（　　），但不得超过建设用地使用权的剩余期限。［2012年真题］
5. 甲房地产公司在A地块开发住宅小区，为满足该小区住户观景的需要，便与相邻的乙工厂协商约定，甲公司支付乙工厂800万元，乙工厂在20年内不在本厂区建设15米以上的建筑物，以免遮挡住户观景。合同签订生效后甲公司即支付了全部款项。后来，甲公司将A地块的建设用地使用权转让给丙置业公司。关于A地块权利的说法，正确的是（　　）。[2015年真题]
6. 关于不动产物权设立的说法，正确的是（　　）。[2015年真题]
7. 关于不动产物权设立的说法，正确的是（　　）。[2014年真题]
8. 当事人之间订立转让不动产物权的合同，未办理物权登记的，除法律另有规定或者合同另有约定外，（　　）。［2013年真题］
9. 根据《物权法》规定，一般情况下，动产物权的转让自（　　）起发生效力。［2009年真题］
10. 全民所有制企业的经营权属于（　　）。
11. 国有建设用地使用者依法对土地享有的权利不包括（　　）。
12. 某建设单位为方便施工现场运输，借用项目相邻单位道路通行，双方约定建设单位每月支付20000元费用，据此，建设单位享有的权利是（　　）。
13. 甲公司与乙公司的院落相邻，甲为方便自己车辆进出，遂与乙约定：甲借用乙院内道路通行，期限20年，甲一次性支付给乙50万元补偿费。双方签订合同并办理了地役权登记。2年后，甲拟定了下列方案，其中符合《物权法》规定的是（　　）。
14. 物权变更自登记时发生法律效力的是（　　）。
15. 甲与乙签订房屋买卖合同，将自有的一幢房屋卖给乙，并约定任何一方违约须向对方支付购房款25%的违约金。但在交房前，甲又与丙签订合同，将该房屋卖给丙，并与丙办理了过户登记手续。则下列说法中错误的是（　　）。
16. 甲建筑公司负责一块工地的施工工作。在未施工时，有不少商贩利用这块空地摆摊。现甲公司准备施工，但这些商贩拒不搬迁，严重影响了甲公司的工程进度。这种情况下，甲公司项目经理可以采取（　　）的方式向法院请求保护自己的物权。
